Ligne (ID);Ligne (nom court);Code du sens;Destination;Point d'arrêt (ID);Point d'arrêt (nom);Coordonnées;Arrivée;Départ;Précision
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:15:25+01:00;2021-03-24T14:15:43+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:00:56+01:00;2021-03-24T14:01:21+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:20:31+01:00;2021-03-24T12:20:56+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:31:25+01:00;2021-03-24T14:31:43+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:06:39+01:00;2021-03-24T14:07:04+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:24:31+01:00;2021-03-24T12:24:56+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:35:25+01:00;2021-03-24T14:35:43+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:14:37+01:00;2021-03-24T14:15:02+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:28:31+01:00;2021-03-24T12:28:56+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:39:25+01:00;2021-03-24T14:39:43+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:28:36+01:00;2021-03-24T14:29:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:40:21+01:00;2021-03-24T12:40:46+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:41:25+01:00;2021-03-24T14:41:43+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:30:36+01:00;2021-03-24T14:31:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:46:11+01:00;2021-03-24T12:46:36+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:55:25+01:00;2021-03-24T14:55:50+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:34:36+01:00;2021-03-24T14:35:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:48:06+01:00;2021-03-24T12:48:31+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T14:57:25+01:00;2021-03-24T14:57:50+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:38:36+01:00;2021-03-24T14:39:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:55:46+01:00;2021-03-24T12:56:11+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T15:09:25+01:00;2021-03-24T15:09:50+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:42:36+01:00;2021-03-24T14:43:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:57:41+01:00;2021-03-24T12:58:06+01:00;Applicable
1001;a;0;La Poterie;5005;Sainte-Anne;48.114455,-1.680484;2021-03-24T15:13:25+01:00;2021-03-24T15:13:50+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:44:36+01:00;2021-03-24T14:45:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:05:21+01:00;2021-03-24T13:05:46+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:18:30+01:00;2021-03-24T12:18:55+01:00;Temps réel
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:48:36+01:00;2021-03-24T14:49:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:14:56+01:00;2021-03-24T13:15:21+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:22:31+01:00;2021-03-24T12:22:56+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:52:36+01:00;2021-03-24T14:53:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:20:41+01:00;2021-03-24T13:21:06+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:34:37+01:00;2021-03-24T12:35:02+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T14:54:36+01:00;2021-03-24T14:55:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T13:22:36+01:00;2021-03-24T13:23:01+01:00;Applicable
1001;a;0;La Poterie;5006;République;48.109667,-1.679224;2021-03-24T12:36:37+01:00;2021-03-24T12:37:02+01:00;Applicable
